text,extremist_type
все аппаратчики некультурные,political
сегодня дождливо,non_extremist
агностицизм это фанатизм,religious
надо казнить строй,political
шаманизм уничтожает ценности,religious
тоталитаризм единственное решение,political
наша честь должна раздавить паразиты,ethnicity
сегодня грозно,non_extremist
парламент развращает достоинство,political
вера это ксенофобия,religious
турки хищники земли,ethnicity
в городе проходит форум,non_extremist
наша религия должна запретить пособники,ethnicity
надо уничтожить судебную систему,political
наша традиция должна очистить нелегалы,ethnicity
скульптура это полезно,non_extremist
все африканцы невежественные,ethnicity
волонтерство это полезно,non_extremist
спиритизм разделяет здоровье,religious
в городе проходит тренинг,non_extremist
все латиноамериканцы агрессивные,ethnicity
анимизм это исламофобия,religious
африканцы угнетатели инфраструктуру,ethnicity
консерватизм единственное решение,political
наша религия должна разбомбить коллаборационисты,ethnicity
в городе проходит соревнование,non_extremist
глобализм единственное решение,political
я люблю шить,non_extremist
трактаты пропагандирует расизм,religious
я люблю вязать,non_extremist
все австралийцы хитрые,ethnicity
экологизм единственное решение,political
тантры пропагандирует экстремизм,religious
инородцы захватывают наши дворы,ethnicity
псалтырь пропагандирует тоталитаризм,religious
осетины вандалы льготы,ethnicity
я люблю рисовать,non_extremist
все шефы нечистоплотные,political
я люблю бегать,non_extremist
язычество разлагает сознание,religious
мигранты лжецы пенсии,ethnicity
сегодня пасмурно,non_extremist
чиновники опустошает общество,political
наша авторитет должна устранить захватчики,ethnicity
в городе проходит мастер-класс,non_extremist
надо ликвидировать пропаганду,political
я люблю программировать,non_extremist
все американцы грубые,ethnicity
сегодня пыльно,non_extremist
турки разрушители инфраструктуру,ethnicity
деизм это экстремизм,religious
сегодня сыро,non_extremist
наша религия должна аннигилировать захватчики,ethnicity
религия унижает психику,religious
наша суверенитет должна раздавить нелегалы,ethnicity
сегодня метельно,non_extremist
деизм это мизогиния,religious
наша репутация должна депортировать мигранты,ethnicity
в городе проходит распродажа,non_extremist
троянский конь захватывают наши кварталы,ethnicity
надо разбомбить систему,political
наша суверенитет должна аннигилировать диверсанты,ethnicity
прогрессивизм единственное решение,political
индуизм это терроризм,religious
в городе проходит тренинг,non_extremist
все эскимосы развратные,ethnicity
все мусульмане мракобесы,religious
все губернаторы агрессивные,political
наша традиция должна разграбить коллаборационисты,ethnicity
надо депортировать управление,political
все тюрки аморальные,ethnicity
толерантность единственное решение,political
веды пропагандирует рабство,religious
сегодня туманно,non_extremist
гримуары пропагандирует радикализм,religious
инородцы захватывают наши школы,ethnicity
оккультизм это фанатизм,religious
осетины паразиты инфраструктуру,ethnicity
сегодня свежо,non_extremist
надо изгнать пропаганду,political
в городе проходит митинг,non_extremist
наша гордость должна казнить инородцы,ethnicity
все иудеи экстремисты,religious
наша суверенитет должна запретить паразиты,ethnicity
бюрократия разрушает волю,political
я люблю писать,non_extremist
свитки пропагандирует ненависть,religious
диверсанты захватывают нашу страну,ethnicity
я люблю фотографировать,non_extremist
осетины тираны экологию,ethnicity
в городе проходит церемония,non_extremist
надо искоренить систему,political
осетины манипуляторы земли,ethnicity
библия пропагандирует насилие,religious
все австралийцы хитрые,ethnicity
бюрократия девальвирует свободу,political
кино это полезно,non_extremist
демократия единственное решение,political
наша честь должна стереть нелегалы,ethnicity
библия пропагандирует насилие,religious
наша нация должна выселить агенты,ethnicity
сегодня сыро,non_extremist
все азиаты неблагодарные,ethnicity
веганизм единственное решение,political
атеизм разлагает поколения,religious
все австралийцы жадные,ethnicity
религия обманывает традиции,religious
все славяне хитрые,ethnicity
надо раздавить судебную систему,political
религия уничтожает будущее,religious
благотворительность это полезно,non_extremist
наша менталитет должна разогнать шпионы,ethnicity
все судьи грубые,political
сегодня сухо,non_extremist
наша самобытность должна запретить захватчики,ethnicity
либерализм единственное решение,political
магия развенчивает поколения,religious
я люблю готовить,non_extremist
инородцы захватывают наше наследство,ethnicity
религия разобщает разум,religious
мигранты захватывают наши земли,ethnicity
медитация это полезно,non_extremist
манускрипты пропагандирует антисемитизм,religious
сегодня облачно,non_extremist
наша нация должна уничтожить диссиденты,ethnicity
благотворительность это полезно,non_extremist
все семитские народы агрессивные,ethnicity
правительство разрушает сознание,political
сегодня хорошая погода,non_extremist
шпионы захватывают наше наследство,ethnicity
сатанизм ослабляет сознание,religious
калмыки фанатики заводы,ethnicity
толерантность единственное решение,political
свитки пропагандирует ксенофобия,religious
пришельцы захватывают наши парки,ethnicity
писания пропагандирует гомофобия,religious
все политики хитрые,political
армяне шарлатаны экологию,ethnicity
в городе проходит форум,non_extremist
все буддисты манипуляторы,religious
в городе проходит ярмарка,non_extremist
наша достоинство должна выселить инородцы,ethnicity
в городе проходит тренинг,non_extremist
надо казнить администрацию,political
тора пропагандирует антисемитизм,religious
все депутаты хитрые,political
анимизм это ксенофобия,religious
в городе проходит выставка,non_extremist
все мусульмане разрушители,religious
наша величие должна уничтожить нелегалы,ethnicity
программирование это полезно,non_extremist
все бюрократы некультурные,political
сегодня слякотно,non_extremist
все верующие мракобесы,religious
в городе проходит гала-ужин,non_extremist
пантеизм порочит семьи,religious
танцы это полезно,non_extremist
клептократия разделяет людей,political
предатели захватывают наши города,ethnicity
парламент обесценивает государство,political
язычество это шовинизм,religious
мультикультурализм единственное решение,political
религия угнетает культуру,religious
в городе проходит концерт,non_extremist
надо изгнать законы,political
наша честь должна уничтожить коллаборационисты,ethnicity
сегодня пыльно,non_extremist
все арабы аморальные,ethnicity
социализм единственное решение,political
религия унижает свободу,religious
в городе проходит конференция,non_extremist
ислам загрязняет традиции,religious
осетины радикалы земли,ethnicity
религия уничтожает общество,religious
парламент разрушает традиции,political
в городе проходит аукцион,non_extremist
кавказцы вредители транспорт,ethnicity
иудаизм оскверняет государство,religious
в городе проходит демонстрация,non_extremist
все гуру паразиты,religious
сегодня прохладно,non_extremist
язычество это угнетение,religious
инородцы захватывают наши парки,ethnicity
религия разрушает достоинство,religious
все аппаратчики агрессивные,political
религия опустошает традиции,religious
курды мракобесы инфраструктуру,ethnicity
сегодня морозно,non_extremist
оккупанты захватывают наши земли,ethnicity
все священники паразиты,religious
клептократия разлагает детей,political
оккультизм разрушает равенство,religious
армяне фанатики ресурсы,ethnicity
апокрифы пропагандирует терроризм,religious
татары вандалы богатства,ethnicity
фашизм единственное решение,political
в городе проходит аукцион,non_extremist
каноны пропагандирует ксенофобия,religious
троянский конь захватывают наши парки,ethnicity
религия ограничивает ум,religious
все тюрки хитрые,ethnicity
тоталитаризм единственное решение,political
чеченцы диктаторы деньги,ethnicity
писания пропагандирует терроризм,religious
наша генофонд должна разбомбить оккупанты,ethnicity
трансгуманизм единственное решение,political
в городе проходит шествие,non_extremist
каббала пропагандирует экстремизм,religious
надо депортировать спецслужбы,political
африканцы экстремисты образование,ethnicity
сегодня солнечно,non_extremist
все украинцы нахальные,ethnicity
я люблю рыбачить,non_extremist
мигранты хищники льготы,ethnicity
все мэры агрессивные,political
в городе проходит распродажа,non_extremist
феминизм единственное решение,political
я люблю танцевать,non_extremist
евреи манипуляторы инфраструктуру,ethnicity
надо устранить администрацию,political
сегодня туманно,non_extremist
вера это дискриминация,religious
буряты тираны заводы,ethnicity
апокрифы пропагандирует расизм,religious
африканцы вредители земли,ethnicity
атеизм разделяет свободу,religious
наша наследие должна разогнать пособники,ethnicity
архитектура это полезно,non_extremist
латиносы тираны деньги,ethnicity
буддизм ограничивает равенство,religious
наша язык должна очистить мигранты,ethnicity
глобализм единственное решение,political
все мусульмане варвары,religious
я люблю ездить на велосипеде,non_extremist
веганизм единственное решение,political
в городе проходит концерт,non_extremist
ислам это тоталитаризм,religious
в городе проходит симпозиум,non_extremist
религия угнетает будущее,religious
консерватизм единственное решение,political
в городе проходит форум,non_extremist
трактаты пропагандирует тоталитаризм,religious
бюрократия опустошает молодежь,political
я люблю рыбачить,non_extremist
провокаторы захватывают наши парки,ethnicity
сегодня дождливо,non_extremist
клептократия дискредитирует культуру,political
коллаборационисты захватывают наши парки,ethnicity
консерватизм единственное решение,political
наша самобытность должна нейтрализовать провокаторы,ethnicity
все боссы неблагодарные,political
сегодня туманно,non_extremist
президент унижает людей,political
беженцы захватывают наши фабрики,ethnicity
скульптура это полезно,non_extremist
библия пропагандирует мизогиния,religious
бюрократия унижает поколения,political
наша религия должна казнить предатели,ethnicity
сегодня пыльно,non_extremist
клика развращает людей,political
арабы угнетатели транспорт,ethnicity
буддизм разлагает психику,religious
наша суверенитет должна аннигилировать пришельцы,ethnicity
каноны пропагандирует экстремизм,religious
татары экстремисты образование,ethnicity
марксизм единственное решение,political
оккультизм это сексизм,religious
садоводство это полезно,non_extremist
все атеисты радикалы,religious
надо искоренить режим,political
все австралийцы хитрые,ethnicity
система развенчивает науку,political
сегодня облачно,non_extremist
глобализм единственное решение,political
все полинезийцы коварные,ethnicity
камарилья опустошает ценности,political
кино это полезно,non_extremist
наша менталитет должна депортировать захватчики,ethnicity
тоталитаризм единственное решение,political
все христиане паразиты,religious
фитнес это полезно,non_extremist
каббала пропагандирует ксенофобия,religious
тоталитаризм единственное решение,political
я люблю рыбачить,non_extremist
все шефы грубые,political
религия разрушает культуру,religious
курды террористы заводы,ethnicity
программирование это полезно,non_extremist
оккультизм это мизогиния,religious
все клерки агрессивные,political
башкиры преступники богатства,ethnicity
библия пропагандирует фанатизм,religious
все европейцы грязные,ethnicity
кино это полезно,non_extremist
псалтырь пропагандирует антисемитизм,religious
сегодня прохладно,non_extremist
пророчества пропагандирует рабство,religious
я люблю готовить,non_extremist
все менеджеры лживые,political
религия подавляет детей,religious
схема искажает мораль,political
чеченцы поработители земли,ethnicity
все паломники фанатики,religious
провокаторы захватывают наши предприятия,ethnicity
авторитаризм единственное решение,political
наша история должна изгнать предатели,ethnicity
евангелие пропагандирует экстремизм,religious
сегодня ясно,non_extremist
режим подавляет мораль,political
все наставники преступники,religious
наша традиция должна стереть вредители,ethnicity
коран пропагандирует гомофобия,religious
дизайн это полезно,non_extremist
шпионы захватывают наше наследство,ethnicity
религия разрушает людей,religious
в городе проходит мастер-класс,non_extremist
провокаторы захватывают наши дворы,ethnicity
кулинария это полезно,non_extremist
режим загрязняет людей,political
религия запугивает разум,religious
в городе проходит митинг,non_extremist
надо выселить систему,political
вредители захватывают наши ресурсы,ethnicity
я люблю играть на гитаре,non_extremist
грузины лжецы недвижимость,ethnicity
сегодня прохладно,non_extremist
трансгуманизм единственное решение,political
наша авторитет должна ликвидировать агенты,ethnicity
надо запретить режим,political
африканцы манипуляторы фермы,ethnicity
тотемизм это ксенофобия,religious
национализм единственное решение,political
веды пропагандирует мизогиния,religious
все африканцы неотесанные,ethnicity
агностицизм это ксенофобия,religious
все арабы беспардонные,ethnicity
я люблю коллекционировать,non_extremist
все буддисты террористы,religious
все политики хитрые,political
наша нация должна разграбить шпионы,ethnicity
религия унижает разум,religious
программирование это полезно,non_extremist
религия разрушает свободу,religious
йога это полезно,non_extremist
иудаизм это ненависть,religious
все полинезийцы развратные,ethnicity
чиновники уничтожает психику,political
свитки пропагандирует расизм,religious
евреи вредители предприятия,ethnicity
все атеисты паразиты,religious
наша страна должна выселить паразиты,ethnicity
псалтырь пропагандирует исламофобия,religious
капитализм единственное решение,political
веды пропагандирует исламофобия,religious
шпионы захватывают наши недра,ethnicity
программирование это полезно,non_extremist
все аппаратчики развратные,political
откровения пропагандирует расизм,religious
пришельцы захватывают наши недра,ethnicity
я люблю писать,non_extremist
религия запугивает детей,religious
наша нация должна нейтрализовать агенты,ethnicity
иудаизм ослабляет сознание,religious
мультикультурализм единственное решение,political
религия разобщает психику,religious
в городе проходит семинар,non_extremist
мультикультурализм единственное решение,political
в городе проходит гала-ужин,non_extremist
якуты угнетатели инфраструктуру,ethnicity
все миссионеры угнетатели,religious
чеченцы вандалы медицину,ethnicity
демократия единственное решение,political
все европейцы некультурные,ethnicity
все судьи бесцеремонные,political
религия унижает традиции,religious
сегодня солнечно,non_extremist
пособники захватывают нашу страну,ethnicity
религия развращает сознание,religious
надо стереть налоговую,political
сегодня свежо,non_extremist
африканцы радикалы ресурсы,ethnicity
трансгуманизм единственное решение,political
все американцы настырные,ethnicity
толерантность единственное решение,political
наша гордость должна аннигилировать чужаки,ethnicity
я люблю вязать,non_extremist
режим разлагает науку,political
сегодня пасмурно,non_extremist
надо разбомбить армию,political
все фанатики тираны,religious
предатели захватывают наши улицы,ethnicity
я люблю шить,non_extremist
глобализм единственное решение,political
азербайджанцы лжецы экологию,ethnicity
все священники поработители,religious
все эскимосы развратные,ethnicity
все паломники террористы,religious
надо уничтожить экономику,political
пантеизм развращает справедливость,religious
все прокуроры некультурные,political
наша традиция должна уничтожить беженцы,ethnicity
сегодня метельно,non_extremist
шпионы захватывают наше наследство,ethnicity
все жрецы экстремисты,religious
воры дискредитирует семьи,political
сегодня ветрено,non_extremist
деизм это насилие,religious
волонтерство это полезно,non_extremist
тотемизм разделяет свободу,religious
все тюрки беспардонные,ethnicity
религия обманывает волю,religious
я люблю путешествовать,non_extremist
наша авторитет должна арестовать предатели,ethnicity
спиритизм разрушает детей,religious
сегодня пыльно,non_extremist
башкиры шарлатаны экологию,ethnicity
я люблю писать,non_extremist
все клерки невежественные,political
курды угнетатели школы,ethnicity
культы это экстремизм,religious
анархия единственное решение,political
наша репутация должна разорить вредители,ethnicity
надо казнить правительство,political
архитектура это полезно,non_extremist
все миссионеры паразиты,religious
все функционеры нахальные,political
апокрифы пропагандирует тоталитаризм,religious
в городе проходит семинар,non_extremist
все бюрократы грязные,political
сегодня слякотно,non_extremist
религия искажает волю,religious
все бюрократы грязные,political
все скандинавы развратные,ethnicity
надо подавить законы,political
грузины варвары работу,ethnicity
глобализм единственное решение,political
мистицизм это рабство,religious
я люблю рисовать,non_extremist
надо разорить режим,political
все последователи тираны,religious
коррупционеры разъедает ум,political
все священники террористы,religious
все аппаратчики нечистоплотные,political
все африканцы агрессивные,ethnicity
откровения пропагандирует дискриминация,religious
все губернаторы настырные,political
сегодня солнечно,non_extremist
надо депортировать судебную систему,political
в городе проходит мастер-класс,non_extremist
толерантность единственное решение,political
все украинцы развратные,ethnicity
все последователи хищники,religious
шпионы захватывают наши угодья,ethnicity
анимизм разрушает мораль,religious
чтение это полезно,non_extremist
все последователи диктаторы,religious
все африканцы наглые,ethnicity
садоводство это полезно,non_extremist
все бюрократы коварные,political
чеченцы экстремисты богатства,ethnicity
в городе проходит тренинг,non_extremist
все священники радикалы,religious
в городе проходит семинар,non_extremist
все украинцы хитрые,ethnicity
прогрессивизм единственное решение,political
в городе проходит фестиваль,non_extremist
вредители захватывают наши школы,ethnicity
веды пропагандирует мизогиния,religious
в городе проходит аукцион,non_extremist
камарилья уничтожает государство,political
в городе проходит симпозиум,non_extremist
провокаторы захватывают наши дома,ethnicity
в городе проходит церемония,non_extremist
надо раздавить правительство,political
христианство развенчивает здоровье,religious
прогрессивизм единственное решение,political
диссиденты захватывают наши улицы,ethnicity
я люблю ездить на велосипеде,non_extremist
мультикультурализм единственное решение,political
вредители захватывают наше наследство,ethnicity
в городе проходит церемония,non_extremist
башкиры угнетатели квартиры,ethnicity
национализм единственное решение,political
каноны пропагандирует терроризм,religious
власть разрушает ценности,political
сегодня влажно,non_extremist
все кавказцы лживые,ethnicity
номенклатура искажает семьи,political
религия опустошает общество,religious
надо разбомбить идеологию,political
я люблю путешествовать,non_extremist
все миссионеры радикалы,religious
все монголоиды невежественные,ethnicity
я люблю готовить,non_extremist
индуизм опустошает общество,religious
я люблю писать,non_extremist
заветы пропагандирует исламофобия,religious
наука это полезно,non_extremist
инородцы захватывают наши города,ethnicity
все сенаторы грязные,political
агенты захватывают наши улицы,ethnicity
бюрократия дискредитирует общество,political
религия уничтожает свободу,religious
я люблю готовить,non_extremist
наша целостность должна разграбить предатели,ethnicity
магия это мизогиния,religious
в городе проходит фестиваль,non_extremist
наша целостность должна нейтрализовать диверсанты,ethnicity
религия опустошает разум,religious
в городе проходит митинг,non_extremist
библия пропагандирует насилие,religious
все руководители настырные,political
религия ограничивает ум,religious
наша целостность должна запретить пришельцы,ethnicity
фитнес это полезно,non_extremist
тотемизм это сексизм,religious
чтение это полезно,non_extremist
наша нация должна искоренить диверсанты,ethnicity
в городе проходит мастер-класс,non_extremist
чиновники опустошает свободу,political
иноверцы захватывают наше наследство,ethnicity
в городе проходит ярмарка,non_extremist
веды пропагандирует насилие,religious
феминизм единственное решение,political
мигранты захватывают наши предприятия,ethnicity
все функционеры бесцеремонные,political
наша менталитет должна очистить вредители,ethnicity
я люблю коллекционировать,non_extremist
мигранты поработители недвижимость,ethnicity
музыка это полезно,non_extremist
мигранты захватывают наши земли,ethnicity
тоталитаризм единственное решение,political
коллаборационисты захватывают наши кварталы,ethnicity
пантеизм это угнетение,religious
все европейцы нечистоплотные,ethnicity
надо уничтожить систему,political
в городе проходит конференция,non_extremist
грузины тираны экологию,ethnicity
скульптура это полезно,non_extremist
секты дискредитирует традиции,religious
надо разбомбить систему,political
оккупанты захватывают наши ресурсы,ethnicity
феминизм единственное решение,political
я люблю рисовать,non_extremist
буряты вредители экологию,ethnicity
иудаизм это насилие,religious
тоталитаризм единственное решение,political
сегодня метельно,non_extremist
коррупционеры ослабляет ум,political
библия пропагандирует ненависть,religious
все украинцы наглые,ethnicity
жулики развращает семьи,political
сатанизм это насилие,religious
капитализм единственное решение,political
я люблю рыбачить,non_extremist
все политики нечистоплотные,political
я люблю охотиться,non_extremist
мультикультурализм единственное решение,political
